title,area,contentid,addr,cat,x,y
가거도,38,127480,전라남도 신안군 흑산면 가거도길 38-2,A01,125.1263860145,34.0520609879
가계해수욕장,38,126273,전라남도 진도군 고군면 신비의바닷길 47 (고군면),A01,126.3547412438,34.4354594945
가고파 꼬부랑길 벽화마을,36,2019720,경상남도 창원시 마산합포구 성호서7길 15-8,A02,128.5696552845,35.2077664004
가곡유황온천&스파,32,2994116,강원특별자치도 삼척시 가곡면 탕곡리 509-3,A02,129.2062296318,37.1507494904
가곡유황족욕체험장,32,3534460,강원특별자치도 삼척시 가곡면 가곡천로 1476,A02,129.2059852285,37.1501190022
가금철교 문화공원,31,3482667,경기도 의정부시 가능동 15-28,A02,127.0455151412,37.7533531645
가나아트파크,31,129194,경기도 양주시 장흥면 권율로 117,A02,126.9491636401,37.7250130611
가남체육공원,31,2777865,경기도 여주시 가남읍 대명산길 98,A02,127.5349142281,37.2017093544
가덕도,6,2715601,부산광역시 강서구 서천로42번길 351 (천성동),A01,128.8284150154,35.0399121452
가덕도 등대,6,129156,부산광역시 강서구 외양포로 10,A01,128.8295937487,35.0006471157
가덕도 연대봉,6,2726843,부산광역시 강서구 천성동,A01,128.8216713782,35.0317518247
가덕도대항인공동굴,6,2789460,부산광역시 강서구 대항동 393-9 (대항동),A01,128.8274685924,35.0133095493
가덕도외양포전망대,6,3015365,부산광역시 강서구 외양포로 10 (대항동),A02,128.8289302100,34.9897844302
가덕산,31,125462,경기도 가평군 북면 목동리 산 1-1,A01,127.6121190936,37.9405556371
가라산,36,127257,경상남도 거제시 남부면 다대리 (남부면),A01,128.6303346514,34.7410502933
가람리조트,32,2761729,강원특별자치도 홍천군 두촌면 부채들길 29,A02,128.0184630062,37.8364309102
가력도항,37,2743285,전북특별자치도 부안군 변산면 새만금로 447-27,A01,126.5314023248,35.7269248004
가령폭포,32,125658,강원특별자치도 홍천군 내촌면 와야리 산12-1,A01,128.1595225440,37.8326534604
가루매마을,31,1553085,경기도 양평군 지평면 옥현리 1452-7,A02,127.6145192906,37.4519513148
가리산(포천),31,125463,경기도 포천시 이동면 도평리,A01,127.4080179724,38.0450563404
가리산(홍천),32,125593,강원특별자치도 홍천군 두촌면 가리산길 260-9,A01,127.9988086966,37.8543978969
가리산자연휴양림,32,126905,강원특별자치도 홍천군 두촌면 가리산길 426 (두촌면),A01,127.9795073354,37.8656156746
가리왕산,32,127508,"강원특별자치도 정선군 정선읍 가리왕산로 707 (가리왕산자연휴양림), 평창 진부면",A01,128.5634777835,37.4618262980
가리왕산케이블카,32,3068424,강원특별자치도 정선군 북평면 중봉길 41-35,A02,128.6097538017,37.4742535268
가림상회,34,2820640,충청남도 부여군 임천면 성흥로97번길 4-5,A02,126.8928691464,36.1899003585
가마골계곡,38,127423,전라남도 담양군 용면 용소길 261,A01,127.0227046757,35.4451873670
가마미해수욕장,38,126289,전라남도 영광군 홍농읍 가마미로 355,A01,126.4090769892,35.3997293920
가마소계곡,37,1625067,전북특별자치도 부안군 상서면 청림리,A01,126.5979680020,35.6412495627
가마오름,39,1884191,제주특별자치도 제주시 한경면 청수리 1205,A01,126.2466098987,33.3057279944
가막들공원,31,2745573,경기도 의왕시 양지편로 41-2 (청계동),A02,126.9957160518,37.3916804112
가뫼골마을,36,128498,경상남도 진주시 명석면 관덕길 174 (명석면),A02,128.0324121006,35.2586565930
가문이오름(감은이오름),39,1884505,제주특별자치도 서귀포시 표선면 가시리,A01,126.6876111209,33.4018299117
가배량진성,36,127268,경상남도 거제시 동부면 가배리 산17-1,A02,128.5722247316,34.7820363414
가사도,38,578400,전라남도 진도군 조도면 가사도길 106,A01,126.0510003156,34.4789302819
가사도 등대,38,129141,전라남도 진도군 조도면 가사도돌목길,A01,126.0429125538,34.4611877004
가사동백숲해변,38,2615324,전라남도 완도군 약산면 해동리,A01,126.9277952875,34.3698373475
가사해수욕장,38,1916695,전라남도 완도군 약산면,A01,126.9281702396,34.3704872810
가산사,33,294369,충청북도 옥천군 안내면 안내회남로 671,A02,127.5973920906,36.4015885618
가산산성마을,35,2629074,경상북도 칠곡군 가산면 가산로 891,A02,128.5978129850,36.0501079498
가산서원,38,1957336,전라남도 장성군 삼서면 영장로 2015,A02,126.6931003984,35.2313226604
가산수변공원,36,2784347,경상남도 양산시 동면 가산리,A02,129.0180165474,35.2951703547
가산수피아,35,2633896,경상북도 칠곡군 가산면 학하들안2길 105,A01,128.4850691574,36.0861545517
가상플레이그라운드,35,3532168,경상북도 의성군 안계면 서부로 1858 의성푸드빌리지 3층,A02,128.4265378142,36.3965542601
가새기오름,39,1884521,제주특별자치도 제주시 오라삼동 2848,A01,126.5038611983,33.4893700755
가섭사,33,294390,충청북도 음성군 음성읍 가섭길 494,A02,127.7030557496,36.9666339700
가세오름,39,1885746,제주특별자치도 서귀포시 표선면 녹산로 554,A01,126.7231832338,33.3931758821
가시리국산화풍력발전단지,39,3026711,제주특별자치도 서귀포시 표선면 녹산로 464-78,A02,126.7341100468,33.3939370848
가시오름,39,1885754,제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,A01,126.2500169782,33.2236315617
가실벚꽃길,31,3023389,경기도 용인시 처인구 포곡읍 가실리 190-14,A02,127.1950173777,37.2938508782
가실성당,35,2513971,경상북도 칠곡군 왜관읍 가실1길 1,A02,128.4048776375,35.9363922928
가야공원,6,2788410,부산광역시 부산진구 엄광로 118 (가야동),A01,129.0276891748,35.1483453258
가야금산조테마공원,38,2732489,전라남도 영암군 영암읍 기찬랜드로 19-10,A02,126.6856118867,34.7919693222
