title,area,addr,cat,x,y
가고파캠핑장,36,경상남도 산청군 시천면 지리산대로1478번길 31-10,A03,127.8177481174,35.2400382279
가곡국민여가캠핑장,32,강원특별자치도 삼척시 가곡면 가곡천로 1512,A03,129.2084654928,37.1524160094
가람관광농원,36,경상남도 합천군 봉산면 인덕로 930,A03,128.0576566795,35.5874588369
가래골농원캠핑장,31,경기도 포천시 창수면 포천로2811번길 178,A03,127.1571618898,37.9931883432
가로림글램핑,34,충청남도 서산시 팔봉면 범머리길 80,A03,126.3294362043,36.8345609965
가루실캠핑장,34,충청남도 예산군 덕산면 가루실길 307-8,A03,126.6391547231,36.6514624457
가마골계곡 핫캠핑장,38,전라남도 담양군 용면 용소길 131,A03,127.0310319445,35.4362301902
가마실캠핑장,33,충청북도 제천시 의병대로61길 50 (자작동),A03,128.2966424070,37.1215160188
가반나야영장,36,경상남도 남해군 서부로 892-9,A03,127.9837844531,34.8852282391
가산글램핑,35,경상북도 칠곡군 가산면 학하2길 54-55,A03,128.4747005584,36.0887124032
가야경 오토캠핑장,35,경상북도 성주군 가천면 동신로 209,A03,128.1189691012,35.8521883021
가야랜드달빛야영장,36,경상남도 김해시 신어산길 67,A03,128.9056384495,35.2590140057
가야산국립공원 백운동 자동차야영장,35,경상북도 성주군 수륜면 가야산식물원길 49,A03,128.1425683087,35.8047607712
가야산국립공원 치인자동차야영장,36,경상남도 합천군 가야면 가야산로 1645-8,A03,128.1004474677,35.7886535023
가야산백운오토캠핑장,35,경상북도 성주군 수륜면 백운2길 51-32,A03,128.1517399767,35.7953758888
가야산캠핑장,34,충청남도 예산군 덕산면 윤봉길로 489-8,A03,126.6289380424,36.6865498957
가온누리캠핑체험장,35,경상북도 경주시 안강읍 호국로 2037,A03,129.1373340915,35.9810480877
가온빌리지,36,경상남도 밀양시 산외면 산외강변로 309,A03,128.8156148929,35.4929999390
가온오토캠핑장,35,경상북도 포항시 북구 새마을로 3351,A03,129.0777984478,36.1473781253
가온휴양빌리지,32,강원특별자치도 홍천군 서면 한서로 1304,A03,127.6201076548,37.6437041869
가우도카라반펜션,38,전라남도 강진군 대구면 저두바닷길 3,A03,126.7920644864,34.5278201918
가은해솔캠핑장,35,경상북도 문경시 가은읍 원북길 148-15,A03,128.0161690467,36.6827167551
가인야영장,38,전라남도 장성군 북하면 백양로 1217,A03,126.8813591872,35.4330585531
가족소풍,38,전라남도 담양군 용면 용소길 6,A03,127.0345207933,35.4256731127
가족쉼터,31,경기도 남양주시 수동면 비룡로 1603,A03,127.2736720245,37.7559681143
가창글램핑장,4,대구광역시 달성군 가창면 단산1길 47-1,A03,128.6631066775,35.7715573693
가창농원글램핑오토캠핑장,4,대구광역시 달성군 가창면 가창로10길 56,A03,128.6791231675,35.7272237858
가평 네잎클로버 카라반 글램핑,31,경기도 가평군 장수로 156-20,A03,127.5086546484,37.6176301595
