title,area,contentid,addr,cat,x,y
가가와,6,2805408,부산광역시 부산진구  중앙번영로 (6),A05,129.0598281416,35.1448074253
가경목장,31,2901530,경기도 안산시 상록구 감골로 173 (사동),A05,126.8580034344,37.2971166997
가경식당,34,1797757,충청남도 부여군 부여읍 성왕로 286,A05,126.9189337881,36.2832456836
가고파부치기,32,2788416,강원특별자치도 평창군 평창읍 평창시장1길 14,A05,128.3949096743,37.3669090429
가고파생삼겹구이,36,2866408,경상남도 창원시 마산합포구 해양관광로 962,A05,128.5483682280,35.1052441863
가고파식당,35,1965380,경상북도 문경시 문경읍 새재로 920,A05,128.0771808236,36.7605895067
가고파식당,36,2572443,경상남도 통영시 한산면 한산일주로 856,A05,128.5064669527,34.7671312725
가나돈까스의집,1,2871024,서울특별시 강남구 언주로 608,A05,127.0377755568,37.5099674377
가나샤브샤브,3,1928589,대전광역시 유성구 신성로84번길 49,A05,127.3512700000,36.3890161659
가나안국수,31,2894914,경기도 고양시 덕양구 행주로15번길 16,A05,126.8278865647,37.6009169989
가나안장어마을,31,2831563,경기도 고양시 일산동구 애니골길 54 (풍동),A05,126.7921100429,37.6721941761
가남지,3,250577,대전광역시 유성구 대덕대로 588 2층,A05,127.3788898499,36.3853504089
가는곶 세화,39,2850913,제주특별자치도 제주시 구좌읍 세화14길 3,A05,126.8606961680,33.5205279098
가담,1,2869760,서울특별시 강남구 언주로167길 35 (신사동),A05,127.0302729961,37.5264209476
가덕도횟집,2,597467,인천광역시 중구 연안부두로 61,A05,126.5998642696,37.4534884332
가덕한우정육점,33,2903777,충청북도 청주시 상당구 단재로 940,A05,127.5291215233,36.5634910212
가데나 레스토랑,3,2866692,대전광역시 유성구 반석로 136-6 (반석동),A05,127.2997523680,36.3898123840
가드너스,31,2846052,경기도 파주시 탄현면 헤이리마을길 59-52,A05,126.6961266153,37.7897037711
가드니아 제빵소 본점,31,2901496,경기도 구리시 동구릉로460번길 114 (사노동),A05,127.1445094162,37.6379322725
가든갤러리,31,798518,경기도 남양주시 강변북로632번길 57-28 (수석동),A05,127.1741498181,37.5877969686
가든세계평화,35,2900308,경상북도 청송군 경동로 5185,A05,129.1218147595,36.5041023204
가든카페 명천마루,37,2877540,전북특별자치도 무주군 원통사로 373-7,A05,127.6806389816,35.8329326323
가든파티 계양점,2,2876098,인천광역시 계양구 경명대로 977,A05,126.7155150810,37.5441604907
가든포레스트,33,2860348,충청북도 청주시 청원구 도원세교로 222-6,A05,127.5479605858,36.6968871677
가락골마산아구찜,1,2757617,서울특별시 송파구 송이로19길 3 (가락동),A05,127.1217599348,37.4975120620
가람,33,2013680,충청북도 제천시 수산면 월악로 2970,A05,128.1772085952,36.9329354680
가람,31,2736710,경기도 광주시 남종면 산수로 1633-20,A05,127.2991160804,37.4959348976
가람,39,2906155,제주특별자치도 제주시 복지로북길 4 1층,A05,126.5206569716,33.4888787305
가람돌솥밥,39,2755053,제주특별자치도 서귀포시 중문관광로 332 (대포동),A05,126.4313090015,33.2496926417
가람복집,38,2507936,전라남도 여수시 화산로 20,A05,127.6408868078,34.7715294549
가람오리구이,31,2860249,경기도 용인시 처인구 원양로 250-14,A05,127.3067354039,37.1823185696
가람집옹심이,32,2868839,강원특별자치도 강릉시 공항길30번길 16,A05,128.9393320379,37.7611934162
가랑드,38,2640274,전라남도 곡성군 곡성읍 낙동원로 10,A05,127.3015424956,35.2827410854
가래울해장국,31,2768070,경기도 여주시 점동면 가래울길 29,A05,127.6756069815,37.2051837464
가루실가든,34,2823496,충청남도 예산군 가루실길 180,A05,126.6435540583,36.6615196977
가리비칼국수,2,2768130,인천광역시 남동구 오봉동로4번길 9 (도림동),A05,126.7298895439,37.4168005458
가리산막국수,32,608471,강원특별자치도 홍천군 두촌면 가리산길23번길 7,A05,128.0138244871,37.8381278478
가리왕산가든,32,2801756,강원특별자치도 평창군 대화면 가평로 5,A05,128.4403251905,37.4546831081
