title,area,contentid,addr,cat,x,y
가락청,37,2671267,전북특별자치도 전주시 완산구 한지길 68 (풍남동3가),B02,127.1535667664,35.8173223769
가람나무,31,2627867,경기도 파주시 소라지로327번길 126-21 (송촌동),B02,126.6891949040,37.7547493903
가람초연재,35,1865597,경상북도 안동시 풍천면 하회종가길 76-6,B02,128.5162424474,36.5389896786
가름게스트하우스,39,1896032,제주특별자치도 서귀포시 법환하로9번길 10,B02,126.5123383804,33.2365870334
가리왕산이야기 펜션,32,582215,강원특별자치도 정선군 정선읍 청량길 32,B02,128.5773915547,37.4241170266
가비원모텔[한국관광 품질인증/Korea Quality],36,2950408,경상남도 하동군 화개로 13,B02,127.6231054334,35.1897988120
가야호텔,35,136485,경상북도 성주군 수륜면 가야산식물원길 52,B02,128.1422906062,35.8028998655
가영당,33,2707444,충청북도 청주시 청원구 오창읍 미래지로 71-54,B02,127.4055417589,36.7351218825
가은채,37,2593271,전북특별자치도 전주시 완산구 한지길 68-13 (풍남동3가),B02,127.1532917977,35.8170640681
가은채2,37,2593272,전북특별자치도 전주시 완산구 한지길 100-20 (풍남동3가),B02,127.1535195942,35.8155697973
가을동화펜션,32,2376711,강원특별자치도 평창군 봉평면 흥정계곡길 72,B02,128.3519002081,37.6272975840
가재와곰펜션,32,2708335,강원특별자치도 평창군 봉평면 흥정계곡4길 212-27,B02,128.3109751158,37.6609429108
가족사랑바다체험펜션,36,1351349,경상남도 남해군 삼동면 죽방로 495,B02,127.9675765215,34.8169300517
가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,,3102216,경기도 가평군 북면 꽃넘이길 115-82 가둘기정원,B02,127.5163456797,37.9003946501
가평 하이랜드,31,1979670,경기도 가평군 북면 가화로 2369-19,B02,127.4766560979,37.9525433965
가평미라몬티풀빌라펜션,31,2814152,경기도 가평군 가화로 1364-59,B02,127.5134792182,37.9023138180
가평풀빌라스테이청평,31,3532761,경기도 가평군 청평면 호명리길 151,B02,127.4671885431,37.7279721369
갈모봉 힐링스테이,36,2579457,경상남도 고성군 고성읍 이당5길 149-21,B02,128.2677822725,34.9758092205
감성보다 양평서종점,31,3533129,경기도 양평군 서종면 당산공원길 21-52,B02,127.4430550985,37.6160902467
강가에 하얀집 펜션,32,1122064,강원특별자치도 영월군 영월읍 선돌길 83-9,B02,128.4347977723,37.1788536889
강가의성,32,940259,강원특별자치도 홍천군 북방면 굴지강변로 281,B02,127.7832358849,37.6915933201
강남스테이힐(Gangnam Stay Hill),1,2574118,"서울특별시 강남구 테헤란로13길 65 (역삼동)1, 2층",B02,127.0301236613,37.5034291706
강남아르누보씨티호텔,1,2650614,서울특별시 서초구 서초대로74길 49 (서초동),B02,127.0281518997,37.4934664031
강령전,37,2570638,전북특별자치도 전주시 완산구 태조로 26-24 (풍남동3가),B02,127.1519336377,35.8150531617
강릉 로뎀나무 펜션,32,2913612,강원특별자치도 강릉시 해안로621번길 12 (안현동),B02,128.8980175220,37.8118978545
강릉 부띠끄호텔 봄봄[한국관광 품질인증/Korea Quality],32,2903046,강원특별자치도 강릉시 교동광장로100번길 19,B02,128.8762486624,37.7666443332
강릉 스테이인옥,32,3102100,강원특별자치도 강릉시 칠성로711번길 18-4 (노암동) 스테이인옥,B02,128.9052882429,37.7495218794
강릉ing게스트하우스,32,2398102,강원특별자치도 강릉시 용지각길 19 (포남동),B02,128.9056239515,37.7615677151
강릉관광호텔,32,3540781,강원특별자치도 강릉시 금성로 62 (성내동),B02,128.8947280147,37.7517436388
강릉바다 화이트비치,32,3534495,강원특별자치도 강릉시 사천면 진리해변길 83-1,B02,128.8765908201,37.8394942414
강릉선교장[한국관광 품질인증/Korea Quality],32,1989501,강원특별자치도 강릉시 운정길 63 선교장,B02,128.8848528574,37.7855756438
강릉시 청소년 해양수련원,32,587289,강원특별자치도 강릉시 주문진읍 동해대로 4940 (주문진읍),A03,128.8123942726,37.9149286939
강릉엘모텔,32,3535524,강원특별자치도 강릉시 성덕포남로149번길 14 (포남동),B02,128.9103095331,37.7650285176
강릉오죽한옥마을,32,2531222,강원특별자치도 강릉시 죽헌길 114 (죽헌동),B02,128.8779926182,37.7773875687
강문애,32,3539791,강원특별자치도 강릉시 창해로 245 (강문동) 강문애게스트하우스,B02,128.9260435319,37.7874706728
강변에서 황토콘도,32,138547,강원특별자치도 인제군 인제읍 내린천로 5384,B02,128.2720847253,38.0100072208
강변의수채화 펜션,32,678537,강원특별자치도 홍천군 북방면 노일로310번길 15,B02,127.7311991032,37.6861096552
강애산애펜션,32,2760767,강원특별자치도 평창군 봉평면 흥정계곡1길 23,B02,128.3485086325,37.6344522470
강이있는풍경펜션,35,2568981,경상북도 문경시 마성면 구랑로 333,B02,128.1206408277,36.6629292774
강이흐르는마을 펜션,32,137913,강원특별자치도 정선군 정선읍 군언길 129,B02,128.6109401719,37.3697517144
강진 자연드림,38,3532937,전라남도 강진군 대구면 백사1길 38,B02,126.7952593764,34.4977541698
강천각모텔,37,136962,전북특별자치도 순창군 팔덕면 강천산길 85,B02,127.0688154117,35.4086478499
강촌 느티나무마을펜션,32,139190,강원특별자치도 춘천시 남산면 강촌로 80-1,B02,127.6345597418,37.8118376994
강촌w펜션,32,1802452,강원특별자치도 춘천시 남산면 강촌로 143,B02,127.6372818657,37.8067688951
강촌잠빌펜션,32,2913427,강원특별자치도 춘천시 남산면 강촌로 250,B02,127.6393291693,37.7976922103
강현재,38,2814166,전라남도 보성군 가내길 31-1,B02,127.2043734140,34.9492242389
강화유스호스텔,2,136605,인천광역시 강화군 내가면 해안서로 972,B02,126.3745584698,37.7045385779
강화평화빌리지,2,2521964,인천광역시 강화군 송해면 상도숭뢰길 183,B02,126.4771467709,37.7866919073
개여울펜션,32,2761333,강원특별자치도 평창군 봉평면 흥정계곡3길 72,B02,128.3290905468,37.6475836907
개울한옥민박,38,2574326,전라남도 해남군 옥천면 도림길 81,B02,126.6616456733,34.5159721453
객리당,37,3102050,전북특별자치도 전주시 완산구 태진로 26 (태평동) 2동,B02,127.1375902537,35.8233075300
갤러리&펜션 풍경소리,32,139867,강원특별자치도 인제군 기린면 설피밭길 661,B02,128.4726878934,38.0375689808
갤러리하우스모텔,32,628541,강원특별자치도 화천군 화천읍 중앙로2길 31-10,B02,127.7045446926,38.1034772614
갤럭시 모텔,32,139224,강원특별자치도 정선군 사북읍 소금강로 3489,B02,128.8420903297,37.2294806274
갬성하우스,,3105325,"강원특별자치도 원주시 이화5길 34-7 (단계동) 201호, 갬성하우스",B02,127.9306939089,37.3416199193
갯내음 펜션,36,2575042,경상남도 통영시 산양읍 논아랫개길 134-51,B02,128.4326896463,34.7820505106
갯벌부흥펜션,34,945148,충청남도 태안군 남면 진산1길 195-14,B02,126.2729252076,36.7086440078
거목장민박,38,2593235,전라남도 해남군 삼산면 민박촌길 63,B02,126.6067506789,34.5084470868
거북이 한옥,,3438571,충청남도 보령시 절터길 41 (요암동),B02,126.5430885360,36.3298338645
거제 돔 관광호텔,36,3470382,경상남도 거제시 일운면 거제대로 2372,B02,128.7099866882,34.8224815267
거제 선셋한옥&오션리조트,36,3470410,경상남도 거제시 하청면 연하해안로 1076-1,B02,128.6000372174,34.9534287930
거제 썬트리팜리조트,36,397642,경상남도 거제시 남부면 거제대로 283,B02,128.6384673539,34.7381729828
거제관광호텔,36,142984,경상남도 거제시 거제중앙로 1898-5,B02,128.6239840921,34.8880476491
거제더비치펜션,36,1855463,경상남도 거제시 장목면 거제북로 2738-1,B02,128.6931334899,34.9974616592
거제도 펜션팔색조,36,138703,경상남도 거제시 일운면 북병산로 460,B02,128.6739454941,34.8179980439
거제도섬마을펜션,36,139689,경상남도 거제시 일운면 거제대로 1988-10,B02,128.6835031689,34.8115239389
거제뷰골프텔,36,2578477,경상남도 거제시 거제면 두동로 259-80,B02,128.5906455117,34.8810839383
거제삼성호텔,36,143125,경상남도 거제시 장평3로 80-37,B02,128.6123460004,34.8961937511
거제스테이,36,3044521,"경상남도 거제시 거제중앙로17길 5 (고현동) 거제스테이 3, 4, 5층",B02,128.6243008183,34.8847591334
