title,area,contentid,addr,cat,x,y
가가상점,34,2750144,충청남도 공주시 감영길 3 (반죽동),A04,127.1216721795,36.4529297875
가경 터미널시장,33,1433504,충청북도 청주시 흥덕구 가경동 1438,A04,127.4341171334,36.6286485111
가까운약국 서면,6,2930927,"부산광역시 부산진구 가야대로 779,1층(부전동)",A04,129.0568335973,35.1579947826
가나안약국,1,2899721,서울특별시 강남구 도산대로 113(신사동),A04,127.0208657845,37.5170635319
가네시 롯데본점,1,2928947,서울특별시 중구 남대문로 81,A04,126.9817485525,37.5647822864
가넷옴므,1,3306525,서울특별시 금천구 디지털로 185 (가산동),A04,126.8872262708,37.4782600918
가든파이브라이프(Garden5life),1,732484,서울특별시 송파구 충민로 66 (문정동),A04,127.1249768726,37.4776672007
가락농수산물종합도매시장,1,132215,서울특별시 송파구 양재대로 932 (가락동),A04,127.1107693087,37.4960786971
가락몰,1,2757647,서울특별시 송파구 양재대로 932 (가락동),A04,127.1107693087,37.4960786971
가락수산시장,1,2757640,서울특별시 송파구 양재대로 932 (가락동),A04,127.1107693087,37.4960786971
가래비시장(가납시장),31,2748296,경기도 양주시 광적면 가납리 738-29,A04,126.9841492836,37.8238327341
가리봉시장,1,2758198,서울특별시 구로구 우마3길 19,A04,126.8893759759,37.4817874979
가미성형외과,1,2918688,서울특별시 강남구 테헤란로105 13층,A04,127.0285433827,37.4987019129
가버 현대가든파이브,1,2924584,서울특별시 송파구 충민로66 2층,A04,127.1249768726,37.4776672007
가버 현대동대문,1,2905752,서울특별시 중구 장충단로13길 20 지하1층,A04,127.0076821872,37.5687878415
가은아자개장터,35,2756644,경상북도 문경시 가은읍 가은3길 17,A04,128.0612493850,36.6462106535
가음정시장,36,2783811,경상남도 창원시 성산구 대정로35번길 8 (가음동),A04,128.6979996238,35.2079714877
가이거,31,2927087,경기도 김포시 고촌읍 아라육로152번길100,A04,126.7852461144,37.5972888829
가좌시장,2,2768173,인천광역시 서구 원적로96번길 26 (가좌동),A04,126.6845970954,37.4934491728
가평 잣고을 전통시장,31,132785,경기도 가평군 가평읍 장터2길 10,A04,127.5147006795,37.8299194893
가평 현리5일장,31,132786,경기도 가평군 조종면 현창로44번길 14,A04,127.3489966384,37.8197092957
간격 드로잉스페이스,1,2989027,서울특별시 마포구 월드컵로23길 20 망원빌 4층,A04,126.9077277407,37.5570179737
간석자유시장,2,2766259,인천광역시 남동구 백범로 312-1 (간석동),A04,126.7153756657,37.4639420354
간성전통시장,32,132783,강원특별자치도 고성군 간성읍 간성시장2길 9-3,A04,128.4697191736,38.3802151301
"감곡장 (3, 8일)",33,132406,충청북도 음성군 감곡면 장감로132번길 22,A04,127.6391460878,37.1182042275
감포공설시장,35,2756602,경상북도 경주시 감포읍 감포로 115,A04,129.5020460934,35.8041527624
강경대흥시장,34,2913835,충청남도 논산시 계백로105번길 8-4,A04,127.0129759676,36.1555869215
강경젓갈시장,34,132519,충청남도 논산시 강경읍 옥녀봉로27번길 30-3,A04,127.0153645321,36.1597837058
강구시장,35,132114,경상북도 영덕군 강구면 강구시장1길 1-13,A04,129.3793046496,36.3581099677
